Etunimi,Lukumäärä
Catrine,105
Fredriikka,105
Heikintytär,105
Mirelle,105
Priscilla,105
Akuliina,104
Anja-Liisa,104
Anna-Katariina,104
Eea,104
Emma-Sofia,104
Hennariikka,104
Marguerite,104
Nadejda,104
Ulla-Marja,104
Elliina,103
Khadija,103
Maura,103
Selinda,103
Stefanie,103
Violet,103
Albertina,102
Ann-Charlott,102
Casandra,102
Celeste,102
Elif,102
Eliise,102
Eugenia,102
Liselott,102
Sinja,102
Vella,102
Anneka,101
Anni-Sofia,101
Eija-Leena,101
Irja-Liisa,101
Osman,101
Sonya,101
Aleksia,100
Alisia,100
Caterina,100
Edna,100
Gunn,100
Henniina,100
Jeannette,100
Rilla,100
Annmari,99
Chloe,99
Eufrosyne,99
Janetta,99
Ljubov,99
Lucy,99
Nanne,99
Noor,99
Pirketta,99
Ristiina,99
Sella,99
Tutta,99
Zoe,99
Hagar,98
Hanna-Riitta,98
Hilde,98
Irmelin,98
Jean,98
Savannah,98
Tatja,98
Gunn-Britt,97
Joan,97
Nessa,97
Salla-Maaria,97
Eela,96
Elly,96
Emerentia,96
Sara-Maria,96
Sole,96
Tita,96
Anni-Mari,95
Carmela,95
Eleni,95
Hani,95
Kirsimarja,95
Meira,95
Tianna,95
Vendla,95
Yasemin,95
Zeinab,95
Fatma,94
Jamina,94
Margareth,94
Melek,94
Opri,94
Sini-Tuulia,94
Vienna,94
Alessa,93
Anna-Greta,93
Cathrine,93
Gitta,93
Hinni,93
Manna,93
Nada,93
Serafiia,93
Sini-Maria,93
Verona,93
Emine,92
Hafsa,92
Jacqueline,92
Julina,92
Justina,92
Kathleen,92
Margitta,92
Merit,92
Minnamari,92
Terja,92
Tuuliina,92
Vivika,92
Chiara,91
Karoline,91
Liida,91
Lotta-Maria,91
Minda,91
Minttu-Maaria,91
Muisto,91
Sanna-Maarit,91
Tuyet,91
Unnukka,91
Aicha,90
Asma,90
Eerin,90
Emmi-Lotta,90
Jarintytär,90
Julietta,90
Kirsi-Maarit,90
Minella,90
Natali,90
Raina,90
Renate,90
Sumaya,90
Anina,89
Anne-Kristiina,89
Corinne,89
Emma-Lotta,89
Eveline,89
Evy,89
Hannakaisa,89
Lauren,89
Line,89
Lise-Lotte,89
Marja-Kaarina,89
Minna-Maarit,89
Thao,89
Valerie,89
Viviana,89
Anne-Marita,88
Eleanoora,88
Gabrielle,88
Hannuntytär,88
Huong,88
Jill,88
Kaisa-Mari,88
Kiana,88
Liselotte,88
Minh,88
Minttu-Maria,88
Miona,88
Miranna,88
Tarita,88
Toive,88
Unni,88
Vanilja,88
Angel,87
Annuli,87
Berta,87
Gunda,87
Kukka-Maria,87
Marena,87
Marje,87
Minna-Leena,87
Mitra,87
Päivyt,87
Toivikki,87
Ainamo,86
Arita,86
Arlene,86
Enya,86
Etta,86
Flora,86
Jemima,86
Jenna-Maria,86
Julianne,86
Kaari,86
Mae,86
Maret,86
